feature,mean_ap_decrease,std_ap_decrease,repeats
local_feature_053,0.005214480916581166,0.0007773337067841061,3
local_feature_055,0.0018748867782549066,0.0005795387825655328,3
local_feature_090,0.0016751311521909413,0.002524545911772344,3
local_feature_061,0.0015852512679120911,4.632835310991444e-05,3
local_feature_077,0.0014854234375429876,0.0006681613767309691,3
local_feature_065,0.0012440579142109314,0.00020572602226265232,3
local_feature_052,0.0010054350873017759,0.0015304698655898177,3
local_feature_059,0.0007635278974283585,0.00013498999058703142,3
local_feature_081,0.0007402563388441882,0.00029917268346313787,3
local_feature_089,0.0007241452954731553,0.00024825117624535816,3
local_feature_014,0.0006491015904099099,0.0005124682777469453,3
aggregate_feature_003,0.0006477065599461337,0.0003392666444431709,3
local_feature_079,0.0006339367130340593,0.00029734534394825233,3
local_feature_060,0.0006298267688254663,0.00012634382823778367,3
aggregate_feature_061,0.000628118038528025,0.00019654460873085895,3
aggregate_feature_066,0.000609569544146075,0.0003189762769008113,3
local_feature_080,0.0006025769073593201,6.744734836228857e-05,3
aggregate_feature_070,0.0005672146829339697,0.000615488948052759,3
local_feature_016,0.0005621646365651841,0.00043084756550306526,3
aggregate_feature_037,0.0005350418134833316,1.8778845448577943e-05,3
local_feature_005,0.0005224538213930799,0.0004361078819929023,3
local_feature_001,0.00048130427671651727,0.00018716099149457765,3
local_feature_047,0.0004791880973421166,0.00038821766328181006,3
local_feature_054,0.0004699095814780045,0.00020598970887992217,3
local_feature_076,0.00046553130871733,0.00017078439092372175,3
local_feature_003,0.00042473020579340365,0.000196813260996043,3
local_feature_083,0.0004051279242703136,0.00032112225598147367,3
aggregate_feature_067,0.00038574828028873725,7.01096602889833e-05,3
aggregate_feature_006,0.0003811264992788314,1.9037604399249284e-05,3
local_feature_013,0.0003415312231176045,4.3212933995966796e-05,3
local_feature_040,0.0003303166316447707,0.00022491766651805943,3
local_feature_011,0.0003233204347391864,0.0003093428233937137,3
local_feature_091,0.0002996543869909403,2.580018992044794e-05,3
local_feature_056,0.0002718619157348427,8.458148933860101e-05,3
local_feature_067,0.00026884648536336836,7.076730370980367e-05,3
local_feature_066,0.00026432549197733896,4.799988061440058e-05,3
aggregate_feature_065,0.00025119669496302216,0.0002486528257522532,3
local_feature_026,0.00022804613581635844,6.728082740494745e-05,3
aggregate_feature_062,0.00022503774513134753,9.124960257021572e-05,3
local_feature_023,0.00021882574303089264,0.00025044542619216757,3
local_feature_022,0.00021111092675415075,0.00011614908655736417,3
aggregate_feature_055,0.00020637202278469177,4.408217948135586e-05,3
aggregate_feature_033,0.00020163137963954045,0.00013489148432246022,3
local_feature_006,0.00019621572255279496,0.00013932461668446808,3
local_feature_092,0.0001904822235287984,0.0001315533070062892,3
local_feature_010,0.00018822755867235289,0.0001296682414039054,3
aggregate_feature_028,0.00018778760528552022,0.00017211750586702698,3
aggregate_feature_042,0.0001836888638488965,2.2543800794446786e-05,3
aggregate_feature_057,0.0001772642211225565,0.00015097177852179913,3
aggregate_feature_072,0.0001698204485527007,0.00010163545433843466,3
local_feature_078,0.00015825851173541702,7.04465609593848e-05,3
local_feature_018,0.00015684092610261194,3.436862848739746e-05,3
aggregate_feature_013,0.00015114197265649518,0.00015467103972118483,3
aggregate_feature_039,0.00014845606770227024,0.0004972994472464683,3
aggregate_feature_034,0.00014511025043180878,4.3146059238486664e-05,3
aggregate_feature_005,0.0001379911121865233,5.372573658262133e-05,3
aggregate_feature_036,0.00013705156840034446,3.7713417252569135e-05,3
aggregate_feature_052,0.00013527742144244423,0.0002241365865006798,3
local_feature_084,0.00013273142044867292,0.00038151887668306215,3
aggregate_feature_071,0.00012819276049450915,0.00014692324161093656,3
aggregate_feature_045,0.00012140700373490058,0.0002609152591907032,3
local_feature_032,0.00011330160891224554,4.5072545773360036e-05,3
local_feature_002,0.00011274564853995066,0.00015024594948120573,3
aggregate_feature_030,0.00010177542438982723,6.716712444534085e-05,3
aggregate_feature_031,0.00010047966561258874,9.859195318549858e-05,3
aggregate_feature_026,9.720520625237465e-05,7.372691102185166e-05,3
aggregate_feature_023,9.51467539751875e-05,1.1253548291630546e-05,3
local_feature_073,9.255977670752369e-05,4.972389400291125e-05,3
local_feature_058,8.943658695174476e-05,8.162481329902072e-05,3
local_feature_057,8.770388265133544e-05,4.786001298953861e-05,3
aggregate_feature_041,8.58390079759852e-05,9.572273874821057e-05,3
local_feature_087,8.107084835799287e-05,5.9385975516189964e-05,3
aggregate_feature_035,7.60399834254984e-05,9.46948304795626e-05,3
local_feature_009,7.268408692543786e-05,0.00019452076874336522,3
aggregate_feature_029,7.227766875221124e-05,6.250670511891256e-05,3
local_feature_027,6.950135532783157e-05,0.00010285491196544068,3
aggregate_feature_022,6.629034390999895e-05,9.229175273489719e-05,3
aggregate_feature_014,6.436858892736967e-05,0.00031410636723098583,3
local_feature_004,6.290474725016242e-05,0.00017984486031031758,3
local_feature_030,6.188242664018073e-05,0.00023180806676732579,3
aggregate_feature_069,5.963928731437621e-05,7.34875511700249e-05,3
local_feature_020,5.6198255096395755e-05,0.00010268572216554496,3
local_feature_062,5.609896554696162e-05,8.840442775373998e-05,3
aggregate_feature_002,5.59771039783478e-05,9.185281885377313e-05,3
aggregate_feature_017,5.574075378108242e-05,1.7425002488024018e-05,3
local_feature_025,5.2239646676703146e-05,0.0002767607379678451,3
aggregate_feature_054,5.09349866359606e-05,9.6335977476118e-05,3
aggregate_feature_051,4.9951039171824974e-05,0.00015160059948190292,3
aggregate_feature_025,4.021198877005953e-05,1.3319698319467094e-05,3
aggregate_feature_056,3.901758740180542e-05,0.00012093441195854753,3
aggregate_feature_068,3.879382904999525e-05,0.00022655025121583286,3
aggregate_feature_059,3.8050291871020527e-05,0.00014529007113826326,3
local_feature_036,3.617325971871921e-05,6.291896196922022e-05,3
aggregate_feature_012,3.516100357940181e-05,5.311010274171779e-05,3
aggregate_feature_038,3.236237532074545e-05,0.00023257856751861519,3
aggregate_feature_018,3.0353451767347234e-05,3.1307619176501626e-05,3
local_feature_035,2.966544166590109e-05,1.60959466226518e-05,3
local_feature_068,2.640479925652972e-05,7.283461693386433e-05,3
local_feature_031,2.350650117910469e-05,0.0002592349161867387,3
local_feature_050,2.1506879120799145e-05,2.342344713701281e-05,3
aggregate_feature_044,2.0318006777856706e-05,2.507835800853979e-05,3
aggregate_feature_007,1.918686709156958e-05,1.3636536372645863e-05,3
local_feature_008,1.731629308491615e-05,0.00027569219838196257,3
local_feature_063,1.6834908615296722e-05,3.523472855924506e-05,3
local_feature_034,1.1366915108168563e-05,1.0823236140383553e-05,3
local_feature_007,1.0927441388900819e-05,6.5996845008368455e-06,3
local_feature_037,1.0305098759211262e-05,2.5428749532990444e-05,3
local_feature_012,9.93451447136214e-06,0.00020852520221278898,3
local_feature_051,9.343026906583063e-06,2.8913918979314632e-05,3
aggregate_feature_010,8.622736429283092e-06,1.424854338187974e-05,3
local_feature_070,3.942537316022528e-06,6.828674942087254e-06,3
local_feature_074,2.907508705055998e-06,4.914504783058547e-05,3
time_step,0.0,0.0,3
local_feature_015,0.0,0.0,3
aggregate_feature_043,0.0,0.0,3
local_feature_046,-5.952903637066834e-07,0.00032937405982043095,3
local_feature_088,-1.4195526609010283e-06,0.00015480975926227854,3
aggregate_feature_008,-4.310275812269282e-06,5.698344977262475e-06,3
local_feature_029,-4.634595381691753e-06,0.0002548234205623044,3
local_feature_071,-5.4466942920328165e-06,1.2618591221492047e-06,3
aggregate_feature_046,-5.464805197807898e-06,2.3416267141584828e-05,3
local_feature_038,-1.0729620985916455e-05,0.0,3
local_feature_039,-1.072962098599047e-05,1.2819751242743645e-16,3
local_feature_072,-1.3368577230998824e-05,2.7546191383620323e-05,3
aggregate_feature_064,-1.3809652568474995e-05,0.0001624568828762277,3
